
Gdrive of all :  https://drive.google.com/open?id=1neKBKIxLu9Rxn5M2UU8sMtYlHYH3JjrE


JupyterHub
Home
rpothiappan621
Info
Video Links
Video Downloads
Grades
Schedule
Lectures will be distributed every week as a set of 4 hour long videos. The links will be posted here as they are uploaded.

Video links below

Date	Event	Youtube Link
Monday 18-May-2020 9:30 am	6.1.5 Fourier Transforms Part I	https://youtu.be/k-cF7LB7p4w
Monday 18-May-2020 9:30 am	6.1.6 Fourier Transforms Part II	https://youtu.be/7KSdhV2elq8
Monday 18-May-2020 9:30 am	6.1.7 Fourier Components in our Model	https://youtu.be/ek3vt4xLL-k
Monday 18-May-2020 9:30 am	6.1.8 Modeling Noise	https://youtu.be/IBBcCxCPv1w
Monday 18-May-2020 9:30 am	6.1.9 Moving Statistics	https://youtu.be/8LUt3PBcCFk
Monday 18-May-2020 9:30 am	6.1.10 Full Model	https://youtu.be/oIIE1Fh8eNc
Monday 18-May-2020 9:30 am	6.1.11 ARMA and ARIMA	https://youtu.be/UPox0nn4IvE
Monday 18-May-2020 9:30 am	6.1.12 AR Example	https://youtu.be/GaQ70ZHo69s
Monday 18-May-2020 9:30 am	6.2.1 Intro to Dimension Reduction	https://youtu.be/b5BihaS90q0
Monday 18-May-2020 9:30 am	6.2.2 Math of Projections	https://youtu.be/CZjSrCpkxxk
Monday 18-May-2020 9:30 am	6.2.3 PCA	https://youtu.be/dCYH6MVyfSA
Monday 18-May-2020 9:30 am	6.2.4 PCA in Scikit Learn	https://youtu.be/lSxcJbaRvkA
Monday 18-May-2020 9:30 am	6.2.5 PCA Implementation Details	https://youtu.be/QQl4h1gyCwc
Monday 18-May-2020 9:30 am	6.2.6 Choosing the Number of Components	https://youtu.be/4azFI2QzyXU
Monday 18-May-2020 9:30 am	6.2.7 Truncated SVD	https://youtu.be/nfwInvCoym0
Monday 18-May-2020 9:30 am	6.2.8 NMF	https://youtu.be/ELLDyWiiSXU
Monday 18-May-2020 9:30 am	6.2.9 Using PCA with Supervised ML	https://youtu.be/u8tUlG28CH0
Monday 18-May-2020 9:30 am	6.2.10 PCA for Visualization	https://youtu.be/MRwKUI5ulio
Monday 18-May-2020 9:30 am	6.2.11 NMF Exercise Part I	https://youtu.be/oo1sDDHE-DM
Monday 18-May-2020 9:30 am	6.2.12 NMF Exercise Part II	https://youtu.be/PQt9XPS_bT0
Monday 18-May-2020 9:30 am	6.2.13 Variants of PCA	https://youtu.be/0KdHFPXsonE
Monday 25-May-2020 9:30 am	7.1.1 Intro to Anomaly Detection	https://youtu.be/KuFUQ7wWhsY
Monday 25-May-2020 9:30 am	7.1.2 One class SVM	https://youtu.be/2l0TD7gCzvQ
Monday 25-May-2020 9:30 am	7.1.3 Isolation Forest	https://youtu.be/xIAwOj_xh9s
Monday 25-May-2020 9:30 am	7.1.4 Comparison Between One-class SVM and Isolation Forest	https://youtu.be/VIyK4gLB2hg
Monday 25-May-2020 9:30 am	7.1.5 Intro to Case Study	https://youtu.be/TQk9uSFMo6w
Monday 25-May-2020 9:30 am	7.1.6 Initial Baseline Model Part I	https://youtu.be/qrJTbKyv1eA
Monday 25-May-2020 9:30 am	7.1.7 Initial Baseline model Part II	https://youtu.be/HMRoWtI6eMo
Monday 25-May-2020 9:30 am	7.1.8 Full Baseline Model	https://youtu.be/gTyO2ldQfWc
Monday 25-May-2020 9:30 am	7.1.9 Z-score Detection	https://youtu.be/d2YIby-isCE
Monday 25-May-2020 9:30 am	7.1.10 Rolling Z-score Detection	https://youtu.be/cQ2YIZmeQKg
Monday 25-May-2020 9:30 am	7.1.11 Using External Features Initial Model	https://youtu.be/_SvveHx_Nfk
Monday 25-May-2020 9:30 am	7.1.12 Using External Features Tuning the Model	https://youtu.be/2Z5SQsx4LFE
Monday 25-May-2020 9:30 am	7.1.13 Packaging the Time Series Anomaly Detector	https://youtu.be/hTWHZTTbmJk
Monday 1-Jun-2020 9:30 am	8.1.1 Model Considerations	https://youtu.be/SFFFnqugdOQ
Monday 1-Jun-2020 9:30 am	8.1.2 Model Development	https://youtu.be/DrClE-USVDg
Monday 1-Jun-2020 9:30 am	8.1.3 Flask App Local Development	https://youtu.be/chRA6Lngw-A
Monday 1-Jun-2020 9:30 am	8.1.4 GET requests	https://youtu.be/v1yYLbB_uUE
Monday 1-Jun-2020 9:30 am	8.1.5 Making GET Requests with Model	https://youtu.be/q9DgF7mJbrc
Monday 1-Jun-2020 9:30 am	8.1.6 Using our Model with Twitter Web API	https://youtu.be/AFwGAeBDeEk
Monday 1-Jun-2020 9:30 am	8.1.7 POST Requests and Flask Templates	https://youtu.be/qbi3aT0KEsA
Monday 1-Jun-2020 9:30 am	8.1.8 Preparing for Deployment to the Web	https://youtu.be/zqbIVwnA0go
Monday 1-Jun-2020 9:30 am	8.1.9 Deploying our App to the Web with Heroku	https://youtu.be/ALlhG0pjx1w
Monday 1-Jun-2020 9:30 am	8.2.1 Rethinking Model Tuning	https://youtu.be/TPcytvHTQoA
Monday 1-Jun-2020 9:30 am	8.2.2 Intro to Bayes Theorem	https://youtu.be/bzsLD59kF2g
Monday 1-Jun-2020 9:30 am	8.2.3 Bayesian Inference	https://youtu.be/i6EyxNl_mdk
Monday 1-Jun-2020 9:30 am	8.2.4 Bayesian Optimization	https://youtu.be/GIQL38tkyRs
Monday 1-Jun-2020 9:30 am	8.3.1 End of Course Material	https://youtu.be/htdGrsIMZkg
Monday 1-Jun-2020 7:30 pm	Office Hour 29	https://www.youtube.com/channel/UCW5qH1I2RMA0CnJ0uo7OTvQ/live
Wednesday 3-Jun-2020 2:30 am	Office Hour 30	https://www.youtube.com/channel/UCW5qH1I2RMA0CnJ0uo7OTvQ/live
Wednesday 3-Jun-2020 7:30 pm	Office Hour 31	https://www.youtube.com/channel/UCW5qH1I2RMA0CnJ0uo7OTvQ/live
Friday 5-Jun-2020 2:30 am	Office Hour 32	https://www.youtube.com/channel/UCW5qH1I2RMA0CnJ0uo7OTvQ/live
Friday 5-Jun-2020 9:30 am	OFFICE HOURS PLAYLIST	https://www.youtube.com/playlist?list=PLeDYvCW3J3jl_5cjrutIqjfKzPX0XDmdF
